age,years_licensed,vehicle_age,vehicle_type,annual_mileage,prior_claims,avg_speed_mph,hard_braking_per_trip,sharp_cornering_per_trip,night_driving_pct,highway_pct,trips_per_week,phone_use_per_trip,speeding_pct,annual_premium
40,25,18,Sports,14988,0,41.5,0.41,1.84,12.0,67.2,21.5,0.02,32.9,1666.28
33,17,16,Truck,6715,0,34.7,0.21,0.45,33.2,36.5,19.0,0.33,19.9,1081.77
74,55,5,SUV,24386,0,34.4,0.2,0.45,32.5,57.2,24.5,0.39,60.0,1804.83
56,38,10,SUV,12114,0,41.2,2.46,0.13,33.4,65.9,31.1,0.21,53.3,1601.02
62,47,16,Sports,12568,0,42.2,1.88,0.98,28.9,70.5,27.3,0.16,5.4,1351.67
70,54,8,Sports,17028,0,35.2,0.21,0.34,12.7,54.3,40.1,0.67,29.4,1651.94
59,43,17,Sedan,15660,0,45.3,0.37,0.19,5.7,17.8,26.4,0.23,5.2,1021.36
56,37,16,Sports,12152,0,46.9,2.06,0.31,51.7,50.9,23.6,0.07,9.7,1819.35
31,15,11,SUV,12521,0,38.5,0.48,0.35,40.7,72.2,37.1,0.31,19.2,1542.88
48,29,4,Sedan,5983,0,72.5,5.99,0.84,20.1,37.2,29.8,0.65,15.3,1501.43
22,7,10,Sports,9774,0,49.0,1.17,0.59,73.0,43.0,21.7,0.18,12.4,2028.81
52,37,3,SUV,14069,0,46.4,0.32,0.09,52.7,16.5,26.9,0.07,4.7,1397.0
40,25,3,Sports,13776,0,36.9,2.94,0.92,3.8,29.5,26.7,0.21,21.8,1876.2
46,29,2,Sedan,16885,1,46.7,0.58,1.86,20.6,64.7,23.4,0.39,1.4,1355.7
60,45,16,Sedan,11518,0,47.9,0.51,1.02,55.2,85.9,26.5,0.05,18.2,983.27
28,12,6,SUV,6451,0,45.0,0.59,4.4,13.4,49.5,14.7,0.13,33.3,1502.29
35,17,3,Sedan,16227,0,62.0,2.19,0.13,18.5,81.7,22.2,1.77,9.0,1569.49
64,45,12,Truck,17744,1,24.6,0.29,2.07,5.6,37.6,28.5,0.11,31.6,1734.63
29,12,11,Sedan,15593,0,40.4,0.72,0.85,26.6,35.3,20.8,0.03,15.2,1600.29
26,11,0,SUV,11345,0,53.6,0.05,0.88,6.4,67.7,17.9,0.28,15.1,1545.32
27,12,18,Sedan,16178,0,34.2,2.63,0.88,3.1,30.5,24.7,0.04,26.6,1477.52
61,43,19,Sedan,25716,0,26.4,0.62,0.47,3.9,45.2,21.2,0.01,18.1,1158.25
34,16,17,Truck,12461,0,38.8,0.43,0.47,12.4,71.1,14.4,0.01,19.0,1388.95
55,38,10,Sedan,6753,0,57.5,1.3,1.2,21.5,39.2,14.6,0.18,17.8,1142.47
24,5,19,SUV,9655,0,34.5,1.83,0.05,26.8,56.3,28.3,0.04,22.2,1520.46
63,48,2,Hatchback,14502,0,40.7,2.51,1.07,8.9,37.3,25.7,0.11,30.1,979.97
30,13,16,Truck,5581,0,50.1,0.64,1.55,45.5,57.7,27.5,0.52,15.4,1746.16
57,41,11,Sports,12678,0,38.0,2.51,0.53,33.7,39.9,22.6,0.17,14.1,1542.35
59,43,9,Sedan,13521,0,39.7,0.94,0.29,7.4,22.4,12.9,0.43,11.0,1071.12
26,9,7,Sedan,18140,0,37.2,0.16,0.29,41.8,65.9,18.0,0.26,11.6,1424.63
67,52,14,Sports,17241,0,38.2,2.81,0.1,33.0,50.9,22.4,1.08,9.8,1595.12
44,27,4,Truck,15458,0,31.0,1.19,0.11,13.7,44.2,28.5,0.6,5.9,1374.55
19,4,3,SUV,3349,0,41.9,1.38,0.22,24.9,67.0,11.0,0.96,31.6,1653.27
22,4,19,Truck,15684,0,57.8,4.16,0.02,23.4,50.9,6.5,0.37,16.4,1810.16
46,29,18,SUV,14822,1,64.0,1.23,0.37,48.1,32.3,36.6,0.76,32.0,1914.29
54,39,3,Sedan,13024,0,60.0,0.01,0.44,22.2,62.8,29.8,0.48,15.1,1212.15
55,38,14,Truck,5079,0,46.7,3.07,6.41,41.0,51.1,18.0,0.68,5.6,1443.65
36,19,16,Truck,8893,0,64.9,0.5,5.75,29.8,43.8,23.1,0.58,29.1,1802.1
25,10,11,SUV,7333,0,72.6,1.05,0.25,29.8,45.0,21.6,0.18,45.6,1868.62
65,50,2,Sports,3940,0,47.2,0.34,0.29,63.4,19.4,27.3,0.07,24.1,1409.46
62,43,9,Sedan,11988,0,33.1,0.53,0.81,9.4,51.4,20.9,0.82,5.3,1071.49
18,1,14,Sedan,8809,0,60.7,1.74,0.19,10.5,61.6,15.8,0.04,32.8,1394.1
39,23,9,Sports,22501,1,30.6,0.84,0.84,24.8,54.9,28.9,0.46,32.1,2330.53
69,52,17,Truck,11325,0,34.4,1.48,0.61,6.7,70.4,39.5,2.25,6.2,1311.32
34,17,0,SUV,17175,0,20.0,2.6,0.47,18.5,43.4,29.2,0.1,12.8,1739.93
24,9,2,Sedan,5724,0,53.7,0.63,2.08,57.5,84.9,25.6,0.68,15.7,1738.01
42,25,11,Sedan,9880,1,20.0,1.26,2.11,42.8,54.0,23.3,1.53,37.5,1646.02
62,45,0,Truck,12388,0,56.9,2.25,5.3,49.3,46.4,18.7,0.34,10.5,1800.82
21,5,2,SUV,8367,0,66.7,1.88,0.3,18.6,60.2,21.7,0.43,9.6,1483.26
53,38,2,Sports,10311,1,65.7,1.16,2.63,14.3,29.0,28.1,0.23,3.3,1943.74
23,6,4,Hatchback,11128,1,29.8,0.73,0.93,32.1,52.7,34.5,0.29,9.7,1441.06
48,30,18,Sports,11064,0,22.6,0.79,1.07,34.5,50.1,34.9,0.5,21.1,1644.51
36,17,0,SUV,19420,1,37.3,0.85,2.72,33.2,61.7,26.4,1.03,4.9,1744.98
61,45,3,Truck,13513,1,55.6,0.64,3.43,19.6,48.0,26.5,1.52,16.5,1802.37
71,54,3,SUV,13918,1,59.4,1.8,1.56,9.9,68.6,25.4,0.39,50.7,1977.94
56,38,16,Sedan,14159,0,53.0,0.2,0.51,31.4,80.0,29.6,0.76,58.2,1507.77
44,27,13,Sedan,14451,1,51.3,5.14,0.81,31.6,55.5,25.4,0.67,22.8,1682.96
27,10,17,SUV,11668,0,73.3,2.26,1.15,44.9,22.7,25.5,0.14,10.4,1857.68
43,28,0,Hatchback,10717,0,39.3,0.53,2.12,38.9,75.1,18.1,0.31,25.2,1312.64
36,21,15,Sedan,12667,0,35.7,0.07,1.29,9.2,60.1,17.9,0.58,23.9,1408.95
56,41,2,Sedan,16627,1,30.7,1.86,0.55,19.2,43.4,19.5,0.07,4.7,1413.3
20,2,8,Hatchback,16505,0,50.2,1.99,0.65,24.8,59.7,26.9,1.08,12.2,1657.17
62,45,3,Sedan,11038,0,42.8,4.97,0.06,42.3,43.9,22.5,0.26,33.4,1639.12
30,11,4,Truck,15071,1,54.9,0.44,3.1,24.8,67.7,45.7,0.3,45.3,2314.89
67,51,10,Sedan,11222,0,39.6,0.13,0.11,11.5,82.9,28.1,1.02,22.8,1040.0
45,30,8,Sedan,12135,0,52.5,3.7,1.04,39.9,63.9,37.6,0.09,3.3,1307.67
37,22,2,Hatchback,10106,0,40.4,0.45,2.46,19.6,47.1,36.9,0.02,35.9,1220.22
45,28,5,Sedan,11273,1,43.0,1.92,0.66,42.4,31.6,28.4,0.17,3.5,1659.03
25,8,10,SUV,17365,0,44.2,0.09,1.93,40.5,56.2,24.7,0.08,48.5,1806.17
58,40,8,Sedan,12370,0,24.6,2.14,1.95,29.3,61.1,17.8,2.12,27.4,1482.93
56,38,14,Sedan,12541,1,43.3,0.2,0.07,17.4,69.9,20.2,0.42,8.9,1178.03
18,3,2,Sedan,6211,0,51.7,1.78,0.64,38.4,57.6,31.7,0.42,19.3,1669.5
20,3,0,Sedan,10763,0,33.1,1.14,1.41,11.6,73.2,27.2,0.79,1.5,1611.71
30,11,19,Sedan,11035,1,67.9,4.67,0.66,51.8,48.0,19.9,0.15,22.3,1905.96
45,29,18,Truck,8683,0,45.1,0.06,0.95,36.9,41.8,23.3,0.37,44.3,1446.98
74,55,13,SUV,12087,0,37.5,0.52,1.08,60.8,47.9,27.6,0.08,6.3,1283.04
66,49,16,Sedan,10283,0,37.1,0.11,0.2,24.3,22.4,25.2,0.05,33.7,1016.62
42,24,13,SUV,12320,1,61.4,3.17,0.64,23.1,67.9,23.1,0.29,22.5,1873.02
73,55,16,Hatchback,12486,1,35.1,1.35,0.03,31.8,48.7,24.6,1.22,60.0,1385.22
50,35,13,Hatchback,8177,0,48.6,1.15,0.19,53.4,51.7,5.7,0.29,18.1,1141.38
55,38,11,Truck,10405,0,55.6,0.21,0.86,32.6,36.8,25.1,0.3,25.6,1305.6
70,55,15,Sports,12309,1,51.7,1.01,1.02,31.9,47.3,16.5,1.0,3.3,1662.31
23,6,0,Sedan,16737,1,38.2,0.76,0.19,16.6,71.7,27.9,0.17,27.9,1899.34
61,46,12,SUV,13027,0,55.1,0.57,1.69,30.2,59.9,26.1,0.34,24.2,1243.22
62,46,5,SUV,9352,2,46.9,2.22,0.56,35.1,12.8,31.0,0.09,7.9,1996.02
49,31,16,SUV,13596,0,24.4,0.09,3.04,43.0,18.7,31.1,0.94,50.3,1657.11
62,46,11,SUV,18830,0,59.7,1.56,0.59,34.9,44.8,38.8,0.02,20.4,1602.33
64,45,18,SUV,15667,0,37.6,2.6,0.19,38.0,30.7,9.1,0.27,7.1,1170.89
38,20,5,Hatchback,14190,0,42.9,3.57,1.7,43.6,82.4,24.0,0.16,11.8,1427.53
33,17,6,Sports,14902,0,48.7,2.06,1.01,6.5,41.4,8.7,0.15,9.2,1800.32
71,52,0,SUV,17760,0,38.6,0.5,0.59,37.9,35.4,28.9,0.14,6.9,1637.6
38,21,0,Truck,16303,0,54.1,1.38,0.53,26.0,60.5,23.7,0.23,7.0,1658.55
28,11,4,Sedan,14267,1,31.8,0.23,0.2,21.9,75.9,21.2,1.16,34.1,1730.22
54,39,5,Sedan,16275,0,38.1,0.19,0.5,44.6,59.8,27.1,0.62,35.3,1395.96
53,35,15,SUV,7673,1,59.7,1.53,0.04,49.0,46.1,16.6,1.1,17.4,1546.88
52,35,15,SUV,5991,0,45.3,2.86,0.84,27.5,76.7,39.8,0.11,1.4,1147.65
36,18,13,Sedan,12628,0,32.3,0.1,2.72,30.1,68.4,23.0,0.95,4.6,1172.9
37,20,0,Sports,12275,0,45.9,0.17,1.9,10.3,39.4,25.6,0.28,2.0,1691.5
74,55,12,SUV,9824,0,49.8,1.25,0.03,19.6,52.6,24.0,1.98,29.6,1468.19
35,19,19,SUV,15303,0,26.0,0.37,2.56,35.0,32.6,32.4,0.45,12.5,1477.98
64,49,9,Sedan,4549,0,64.9,1.42,0.72,10.6,43.1,15.4,0.33,8.3,877.23
58,39,9,Sedan,9861,0,66.5,0.36,0.25,28.7,47.3,31.6,1.3,48.9,1621.9
66,49,8,Sports,10060,1,46.4,0.19,1.68,38.2,43.8,20.9,0.24,15.3,1792.39
31,12,12,SUV,5455,0,42.6,1.18,0.47,38.1,43.3,20.9,0.69,9.6,1278.67
32,13,2,Hatchback,17979,0,45.3,2.97,0.35,17.7,63.2,32.0,0.32,2.9,1355.67
48,30,17,Hatchback,6563,0,55.7,1.73,0.21,52.9,49.2,22.9,0.66,14.2,969.39
18,1,19,SUV,9647,0,50.4,2.56,0.8,24.3,71.8,29.9,0.16,26.0,1658.61
70,51,1,Sedan,15632,0,47.9,0.46,0.12,6.3,63.0,30.1,0.26,4.8,1235.39
71,55,16,Sports,14584,0,61.6,3.26,1.85,23.9,41.3,22.2,0.21,39.2,2147.94
71,52,18,Hatchback,7567,0,58.6,0.71,0.76,50.9,52.9,26.9,1.02,28.9,1000.45
20,4,12,SUV,14730,0,33.5,2.87,0.71,23.3,12.6,21.1,1.32,18.6,2017.11
33,15,12,Truck,13159,0,55.6,0.96,0.0,12.1,49.0,24.8,0.66,14.2,1580.59
40,21,0,Truck,21332,1,58.8,0.47,2.04,32.9,47.1,28.8,0.86,4.2,2287.49
74,55,1,SUV,13616,0,48.3,0.45,0.81,14.7,71.4,17.3,0.22,20.5,1366.33
28,10,0,SUV,11435,0,52.2,1.26,0.7,48.2,72.7,28.5,0.08,4.2,1721.56
29,13,4,Sports,8574,0,41.3,0.12,1.72,57.4,23.9,27.5,0.58,4.7,1814.02
27,9,2,Truck,9023,0,30.5,3.99,0.08,54.9,48.1,13.1,0.51,60.0,2019.38
49,30,6,Sedan,8697,0,67.6,0.48,0.55,1.5,45.8,19.0,0.15,29.0,956.28
33,16,12,Sedan,17484,0,28.9,0.61,1.03,1.4,50.9,19.5,1.22,54.3,1695.55
25,8,17,Sedan,12072,2,65.2,0.4,0.74,41.7,53.0,21.4,0.22,15.1,1853.56
55,39,6,Sedan,14261,1,44.2,0.0,0.24,34.7,76.9,17.4,0.84,41.0,1631.19
29,13,0,Hatchback,18057,0,60.0,1.77,0.43,54.7,66.8,32.5,0.07,10.3,1310.44
41,24,4,Sedan,2566,0,45.3,1.34,0.43,2.5,39.7,33.5,0.17,46.5,1298.67
45,29,16,Sedan,17115,0,56.2,2.49,5.79,11.4,42.9,18.7,0.48,49.6,1679.37
70,52,7,Sedan,12222,1,50.4,0.06,0.47,27.2,77.9,15.8,0.14,31.9,1369.12
25,10,14,SUV,13740,1,37.0,3.96,0.28,14.9,71.0,24.9,1.57,6.8,2093.27
45,30,19,SUV,8686,0,46.6,0.6,2.08,35.7,37.5,35.6,0.4,48.6,1645.45
53,35,3,Sedan,8980,0,43.3,3.66,0.66,6.0,43.4,42.2,0.66,24.1,1294.7
43,28,1,Sedan,13955,0,52.7,0.17,0.7,23.3,51.5,19.6,0.41,6.6,1531.41
25,6,4,Sedan,21538,0,46.7,2.04,0.96,50.0,85.1,6.8,0.26,14.9,1756.54
67,49,0,SUV,16013,0,48.4,1.3,1.09,14.0,95.5,13.1,0.86,20.3,1348.94
45,29,4,Sedan,17062,0,32.7,0.67,1.07,21.9,25.3,10.7,0.01,50.9,1548.28
45,27,5,Hatchback,11232,0,29.7,0.12,0.04,34.9,17.8,28.3,0.28,23.7,1250.13
54,37,1,SUV,9599,0,45.8,1.39,2.05,33.5,23.7,25.8,1.06,8.5,1523.58
58,42,0,Sedan,8877,0,47.2,0.04,0.26,27.3,56.1,26.7,0.04,4.3,970.86
53,36,3,Truck,10047,1,32.4,1.04,0.41,15.6,71.2,34.0,0.12,5.6,1198.9
44,28,6,Sedan,3789,0,51.9,1.39,0.23,15.1,40.8,38.0,1.62,22.6,1362.6
71,55,0,Truck,9100,2,52.4,1.98,1.75,3.7,46.1,31.7,1.6,25.8,2053.64
34,16,0,Sedan,9759,0,46.9,7.12,1.05,4.6,29.3,30.9,0.24,34.1,1687.1
26,7,7,SUV,11299,0,45.2,0.45,1.69,14.3,51.5,13.2,0.7,2.7,1337.86
50,34,19,Truck,12527,2,29.8,0.58,1.27,53.9,78.8,20.9,0.49,42.0,2156.28
70,54,15,Hatchback,13450,0,29.6,0.63,0.13,40.9,19.2,36.1,0.34,1.5,952.95
37,20,12,Sedan,11940,0,49.7,1.97,0.43,4.1,43.9,20.6,0.84,10.1,1276.61
30,15,17,Sedan,9674,0,35.1,4.03,0.85,2.9,47.7,33.8,0.53,12.3,1236.82
45,28,19,SUV,4147,0,35.9,5.49,0.44,11.4,48.1,26.0,0.05,34.2,1489.31
65,48,9,Hatchback,9699,0,48.3,4.37,0.28,18.8,72.0,31.3,0.92,23.9,1128.95
46,31,11,Hatchback,8110,1,69.5,3.17,2.45,20.1,58.7,18.0,0.16,45.8,1638.04
30,11,0,Sedan,13864,0,40.2,7.06,1.65,36.6,58.4,31.1,0.5,47.4,2184.44
63,46,9,Sedan,15637,0,69.6,0.71,0.51,25.6,38.6,19.9,0.75,2.4,1459.96
52,35,8,SUV,15754,0,44.1,4.44,1.74,23.9,41.7,26.8,1.14,2.0,1581.89
23,7,2,Sedan,15028,0,51.8,2.15,1.19,32.3,60.0,24.8,1.3,25.6,1746.11
35,20,18,Sedan,11466,1,56.5,0.28,0.0,28.5,33.1,34.5,1.3,4.9,1481.17
68,50,8,Sedan,9912,0,57.4,0.07,0.57,33.1,80.2,31.7,0.54,4.8,1055.36
22,3,9,SUV,9012,1,49.1,0.36,0.41,5.9,71.8,10.9,0.49,25.2,1651.2
64,45,18,Hatchback,5970,3,42.2,2.26,0.29,25.2,52.3,18.5,0.01,39.7,1325.07
42,27,15,Hatchback,15967,0,54.9,1.5,0.35,8.1,31.2,19.9,0.04,30.1,1122.03
19,3,17,SUV,11301,1,50.1,0.38,3.42,50.2,88.0,30.5,0.25,33.0,1929.82
27,11,13,SUV,7015,0,39.8,2.03,0.8,12.5,50.6,21.0,0.79,17.7,1482.39
73,55,2,Sports,8694,1,61.9,0.23,2.26,21.8,65.1,16.3,0.45,2.1,1467.31
47,31,1,Sedan,8532,0,50.5,2.59,0.29,43.5,46.6,14.1,0.13,14.2,1388.46
67,48,0,Truck,12172,1,36.0,2.37,0.23,19.6,46.6,30.8,0.07,17.5,1593.93
62,43,17,SUV,16270,0,34.6,5.39,2.64,6.6,44.9,8.4,0.32,5.6,1618.28
22,4,8,Sedan,10608,0,68.5,0.24,0.82,6.5,80.9,33.4,1.22,37.5,1719.65
72,55,12,SUV,2990,0,39.1,3.56,2.71,13.6,81.2,14.7,0.03,37.6,1450.21
73,55,1,Sedan,11243,0,54.0,0.63,0.08,40.7,34.9,21.4,0.31,23.5,1331.99
50,33,6,Truck,11375,0,49.5,0.81,2.98,57.9,66.5,15.7,0.03,1.4,1294.97
71,53,15,Sedan,11100,0,53.6,0.95,0.64,13.5,17.7,17.6,0.14,8.9,931.32
18,0,18,Sedan,9490,0,67.9,1.48,0.2,23.7,61.8,23.2,1.54,38.7,1390.07
35,19,14,Sedan,12870,0,57.0,7.88,1.38,47.0,43.6,23.9,0.06,21.4,1939.87
49,31,10,Sports,12265,1,55.0,1.37,1.91,18.7,17.3,12.6,0.03,7.6,2070.06
64,46,0,SUV,11901,0,42.6,3.92,0.06,57.8,64.0,21.8,0.05,30.7,1580.58
66,49,6,SUV,13651,0,37.0,0.44,5.23,15.1,19.8,25.8,0.59,25.0,1406.53
28,12,19,SUV,10281,1,74.0,0.76,1.43,11.4,76.5,28.7,0.01,18.7,1754.71
38,20,7,SUV,10054,0,44.5,1.05,0.47,31.7,35.7,8.7,0.25,29.0,1645.93
43,25,9,Sedan,17520,0,43.7,0.58,0.2,6.1,24.2,21.2,1.53,17.6,1499.73
42,26,4,Truck,14237,0,48.5,5.65,0.6,19.9,40.7,8.6,0.04,21.5,1920.76
39,24,8,Sedan,15308,2,47.3,1.94,0.3,31.0,33.9,20.9,1.34,17.8,1771.6
44,28,0,Sedan,16904,0,64.1,0.98,0.82,36.9,47.6,21.6,0.06,40.4,1609.21
66,49,1,Truck,14104,2,51.5,2.09,1.83,10.6,66.3,30.0,0.07,16.3,1769.62
30,15,18,Sedan,15714,0,29.3,0.95,1.3,12.7,89.4,32.8,0.46,12.5,1217.72
50,31,13,Sedan,5683,0,37.1,0.03,0.69,31.5,47.0,16.8,0.14,8.8,766.79
51,35,19,SUV,12817,0,45.1,1.18,0.15,15.5,43.3,27.4,0.0,8.8,1203.53
58,41,9,SUV,11269,0,57.3,1.47,3.78,36.9,63.1,30.2,0.69,44.7,1747.2
52,37,8,Truck,18711,1,26.8,5.96,0.38,11.9,69.3,19.0,0.23,46.7,2076.16
18,2,9,SUV,15711,1,50.9,0.06,0.39,44.4,53.2,31.2,1.19,31.4,2493.26
38,20,5,SUV,9478,0,53.8,1.08,1.24,24.2,42.6,26.1,0.16,12.0,1747.97
65,49,16,Truck,13491,0,55.6,0.15,1.77,44.9,46.2,22.8,0.55,12.9,1524.64
72,53,5,Sedan,12671,0,44.0,0.24,4.97,53.1,62.4,26.1,0.2,19.4,1533.94
23,7,3,Sedan,13817,1,57.6,1.41,4.17,50.8,22.4,12.4,0.08,1.0,1874.19
45,30,19,SUV,7925,1,35.2,0.4,2.94,61.8,59.7,26.1,1.84,8.9,1582.78
34,19,2,Sedan,13440,0,56.3,2.07,0.69,42.4,55.1,18.2,0.44,10.0,1823.34
22,6,18,Hatchback,11087,0,44.3,1.08,0.22,12.3,79.0,25.2,0.92,20.9,1286.04
48,33,17,Sports,13130,0,45.5,0.37,1.05,9.1,58.2,21.8,0.14,26.5,1480.91
22,4,3,Sedan,9102,0,45.4,1.02,0.02,27.7,23.8,27.3,0.25,16.2,1454.23
55,39,7,Sedan,9660,0,52.8,0.0,0.26,31.1,55.4,34.5,0.32,5.8,982.91
20,2,16,Sedan,16695,0,31.7,2.98,0.0,36.4,52.2,26.0,0.5,12.1,1752.68
70,52,4,Sedan,7794,3,55.6,0.02,0.24,35.9,74.5,33.0,0.25,26.2,1593.97
40,23,12,Sedan,8089,1,55.5,0.01,0.77,27.1,72.2,16.8,0.14,33.6,1436.75
54,38,0,SUV,11794,0,41.4,1.42,0.6,26.8,80.2,36.5,0.11,7.3,1281.15
70,55,12,Sports,8912,0,45.0,5.45,0.55,29.1,37.6,16.9,0.46,7.7,1638.38
54,36,3,Truck,8460,1,34.7,2.91,2.13,22.1,21.0,15.0,0.14,20.8,1699.28
27,10,13,Sedan,12420,0,31.1,0.44,1.35,35.5,81.8,22.8,0.25,4.3,1172.35
27,11,2,SUV,5980,1,47.4,0.33,3.31,16.4,40.8,21.4,0.02,35.8,1778.58
36,20,4,SUV,7968,1,47.4,1.48,0.71,40.6,79.2,12.3,0.15,37.0,1816.98
34,15,6,Sports,20216,0,41.0,2.59,0.38,3.2,54.9,16.0,0.33,1.9,1831.25
38,19,0,Sports,13838,0,30.0,0.67,0.16,16.2,49.6,2.0,0.79,7.5,1696.75
31,13,11,Hatchback,9014,1,50.5,0.85,1.34,47.9,46.2,14.2,0.23,22.1,1621.41
26,7,10,SUV,13673,1,40.7,0.18,2.21,42.2,77.9,19.7,0.17,24.4,1685.41
63,45,7,Truck,14269,0,36.0,0.25,0.24,8.1,17.7,36.9,0.36,34.6,1110.0
18,3,5,Sedan,15978,0,60.3,1.26,2.53,28.9,30.6,30.7,0.03,0.4,1642.32
68,50,1,SUV,11491,0,33.3,0.16,0.9,37.7,22.3,27.6,0.22,20.5,1312.23
62,43,18,Sedan,15906,0,51.7,0.34,0.19,38.2,46.9,42.3,0.07,12.1,1133.98
30,15,19,SUV,3846,0,27.0,0.4,1.24,55.7,24.5,10.7,0.15,22.1,1390.19
21,2,19,SUV,7775,0,27.8,0.88,0.88,25.7,24.9,24.5,0.25,1.3,1424.25
18,0,13,Sedan,12655,0,50.8,0.07,0.03,11.8,56.2,41.3,0.03,42.1,1822.37
66,49,0,Sedan,13319,1,41.0,1.04,0.61,10.5,45.0,20.9,0.8,5.2,1334.69
57,41,9,Sedan,8353,0,31.0,3.96,1.84,7.0,48.0,18.4,0.16,5.8,965.4
49,30,15,Sedan,13038,0,56.4,0.04,0.97,22.8,71.8,31.5,0.13,46.9,1530.75
51,33,3,Sedan,9505,1,49.5,1.5,0.4,7.6,55.9,20.5,0.21,41.6,1435.7
45,30,10,Sedan,10892,0,20.0,2.71,3.17,12.8,22.0,35.1,0.23,5.7,1157.34
48,29,15,Sedan,16099,1,56.5,0.56,0.33,30.2,91.6,31.7,0.84,7.1,1388.97
25,6,19,Sedan,15636,0,32.2,0.21,0.35,25.9,57.3,23.5,0.17,24.7,1446.91
56,40,0,Hatchback,8012,0,24.5,0.07,0.53,8.3,44.2,32.8,0.31,14.9,859.57
43,25,15,Sedan,7771,1,35.2,1.55,2.7,11.1,30.4,23.1,0.34,20.5,1441.03
51,34,18,Sedan,10355,0,44.5,1.21,0.85,26.8,64.0,26.1,0.18,11.3,992.97
71,55,8,SUV,11893,0,45.9,0.39,1.38,10.8,37.2,29.7,0.76,5.5,1398.68
71,53,8,Sports,9368,1,25.4,2.67,4.49,35.9,84.8,21.9,0.49,5.4,2000.65
20,5,8,Truck,16163,0,28.0,1.99,1.84,47.6,66.1,37.1,0.64,20.7,2048.55
67,48,16,Sedan,13390,0,35.9,0.49,0.23,31.4,44.9,25.6,0.03,33.3,971.96
29,13,11,SUV,13624,0,36.6,2.1,1.86,70.0,66.8,27.3,0.86,24.5,1906.62
18,2,12,Truck,6934,0,54.1,0.42,1.66,32.3,47.5,14.5,0.14,10.5,2117.21
71,54,7,Truck,16669,0,40.0,1.69,0.32,53.8,49.7,19.8,0.05,10.9,1466.78
61,45,15,Truck,1000,1,53.9,0.19,0.47,21.0,63.6,26.3,0.54,14.6,898.25
22,3,17,Sports,15336,1,58.1,1.77,1.49,57.9,18.5,31.9,0.12,2.1,2543.58
47,30,0,Sports,15737,1,51.7,0.41,0.33,4.9,71.3,36.3,0.26,34.2,2112.39
47,29,0,SUV,10270,0,20.0,1.27,0.28,13.1,44.1,16.5,0.62,30.3,1534.86
74,55,11,SUV,17092,0,41.4,0.28,1.46,11.4,91.7,18.4,0.05,23.0,1122.12
34,17,5,SUV,11748,1,43.0,1.94,2.55,18.8,45.4,15.2,0.07,20.1,1953.11
65,46,8,Sports,12250,1,44.3,0.09,0.09,4.0,65.5,28.9,0.55,10.6,1370.21
64,49,4,Sedan,13358,0,20.0,0.27,0.71,28.5,50.0,36.3,0.3,35.0,1115.21
40,25,15,Hatchback,24746,1,35.8,0.31,1.12,35.3,45.9,23.7,0.13,4.1,1378.14
32,13,17,Sedan,17378,0,28.7,0.06,1.35,19.0,63.8,25.5,0.36,14.3,1109.86
54,35,16,SUV,14805,1,33.9,2.05,6.69,10.5,56.3,26.1,0.48,24.6,1789.98
38,23,17,Sports,8349,0,41.9,5.94,1.38,19.5,70.3,21.2,0.26,2.2,1792.79
31,14,0,Sedan,12574,0,36.1,2.26,1.16,53.8,44.5,15.2,0.09,42.3,1636.5
19,4,18,SUV,8748,0,34.8,2.96,5.49,25.3,35.6,33.5,0.52,16.3,1938.38
28,9,7,Sedan,15288,0,42.6,0.01,0.08,82.9,46.4,26.2,0.06,60.0,1587.11
68,52,2,SUV,12562,0,39.1,0.19,0.09,38.0,9.9,20.6,0.53,24.1,1345.35
56,38,4,Sedan,7502,0,47.4,1.23,0.99,8.4,26.3,49.0,0.16,17.9,1206.71
55,39,7,SUV,12324,0,40.0,5.72,0.53,3.8,61.3,25.0,0.0,23.8,1450.45
51,35,18,SUV,8602,0,26.2,1.62,0.12,51.5,58.2,11.3,0.31,23.0,1418.3
55,36,17,Hatchback,12605,0,32.6,0.7,0.44,6.8,50.7,30.2,0.19,32.7,899.09
67,52,17,Hatchback,8564,0,41.1,0.24,1.35,34.8,42.8,10.3,0.13,20.6,696.56
51,34,0,Sedan,12110,0,39.6,0.25,2.55,62.6,39.5,28.7,0.35,3.2,1464.49
35,19,14,Truck,15002,1,28.0,0.68,0.12,26.4,45.7,28.5,0.21,14.5,1591.27
47,32,17,Sedan,11788,2,53.1,1.88,0.93,45.6,40.9,36.0,0.17,6.3,1494.9
32,15,6,Sedan,10436,0,48.7,0.05,0.42,7.1,24.3,17.0,0.72,6.5,926.95
44,28,15,Sedan,12813,0,37.8,2.87,1.32,25.9,40.1,22.7,0.04,8.6,1377.79
68,51,15,Hatchback,14789,0,43.0,4.26,0.96,26.0,44.7,24.4,0.25,2.0,1135.32
51,36,14,Hatchback,7571,0,32.1,3.29,3.14,12.2,30.5,31.9,0.14,22.7,1301.08
69,51,5,Sedan,13043,0,55.2,3.66,0.05,52.0,46.9,28.5,0.17,32.8,1562.73
74,55,8,Sedan,17270,0,69.8,0.02,0.76,28.0,25.7,29.2,0.29,36.9,1543.35
55,36,6,Sedan,14295,0,37.3,5.71,0.26,10.0,18.2,34.8,1.28,9.1,1656.02
50,33,13,SUV,12231,1,59.7,0.68,0.92,29.0,65.3,23.2,0.54,35.2,1846.27
